"Statistic Label","Year","State","UNIT","VALUE"
"Wheat","2010","State","Base 2015=100","94.7"
"Wheat","2011","State","Base 2015=100","157"
"Wheat","2012","State","Base 2015=100","111.5"
"Wheat","2013","State","Base 2015=100","84.4"
"Wheat","2014","State","Base 2015=100","110.9"
"Wheat","2015","State","Base 2015=100","100"
"Wheat","2016","State","Base 2015=100","105.6"
"Wheat","2017","State","Base 2015=100","104.7051925"
"Wheat","2018","State","Base 2015=100","84.07333125"
"Wheat","2019","State","Base 2015=100","118.5770627"
"Wheat","2020","State","Base 2015=100","60.88988596"
"Wheat","2021","State","Base 2015=100","125.3129814"
"Wheat","2022","State","Base 2015=100","142.8425833"
"Fertilisers","2010","State","Base 2015=100","98.5"
"Fertilisers","2011","State","Base 2015=100","89"
"Fertilisers","2012","State","Base 2015=100","84.7"
"Fertilisers","2013","State","Base 2015=100","105.2"
"Fertilisers","2014","State","Base 2015=100","99.5"
"Fertilisers","2015","State","Base 2015=100","100"
"Fertilisers","2016","State","Base 2015=100","100.9"
"Fertilisers","2017","State","Base 2015=100","112.1198721"
"Fertilisers","2018","State","Base 2015=100","122.067854"
"Fertilisers","2019","State","Base 2015=100","112.7673971"
"Fertilisers","2020","State","Base 2015=100","114.9147737"
"Fertilisers","2021","State","Base 2015=100","122.1854083"
"Fertilisers","2022","State","Base 2015=100","102.0519828"
"Seeds","2010","State","Base 2015=100","76.3"
"Seeds","2011","State","Base 2015=100","76.8"
"Seeds","2012","State","Base 2015=100","87.3"
"Seeds","2013","State","Base 2015=100","90.7"
"Seeds","2014","State","Base 2015=100","88.7"
"Seeds","2015","State","Base 2015=100","100"
"Seeds","2016","State","Base 2015=100","122.9"
"Seeds","2017","State","Base 2015=100","156.7850888"
"Seeds","2018","State","Base 2015=100","159.0711105"
"Seeds","2019","State","Base 2015=100","118.4367809"
"Seeds","2020","State","Base 2015=100","131.132501"
"Seeds","2021","State","Base 2015=100","126.2604289"
"Seeds","2022","State","Base 2015=100","156.3955038"
"Energy and Lubricants","2010","State","Base 2015=100","99.8"
"Energy and Lubricants","2011","State","Base 2015=100","99.4"
"Energy and Lubricants","2012","State","Base 2015=100","94.5"
"Energy and Lubricants","2013","State","Base 2015=100","97.9"
"Energy and Lubricants","2014","State","Base 2015=100","101.1"
"Energy and Lubricants","2015","State","Base 2015=100","100"
"Energy and Lubricants","2016","State","Base 2015=100","103.6"
"Energy and Lubricants","2017","State","Base 2015=100","99.7929731"
"Energy and Lubricants","2018","State","Base 2015=100","98.72188046"
"Energy and Lubricants","2019","State","Base 2015=100","101.5669558"
"Energy and Lubricants","2020","State","Base 2015=100","96.95463265"
"Energy and Lubricants","2021","State","Base 2015=100","102.9986872"
"Energy and Lubricants","2022","State","Base 2015=100","99.53412855"
"Maintenance and Repairs","2010","State","Base 2015=100","95.3"
"Maintenance and Repairs","2011","State","Base 2015=100","99.1"
"Maintenance and Repairs","2012","State","Base 2015=100","102.7"
"Maintenance and Repairs","2013","State","Base 2015=100","102.6"
"Maintenance and Repairs","2014","State","Base 2015=100","104.6"
"Maintenance and Repairs","2015","State","Base 2015=100","100"
"Maintenance and Repairs","2016","State","Base 2015=100","104.2"
"Maintenance and Repairs","2017","State","Base 2015=100","108.0474086"
"Maintenance and Repairs","2018","State","Base 2015=100","104.3924058"
"Maintenance and Repairs","2019","State","Base 2015=100","106.4482428"
"Maintenance and Repairs","2020","State","Base 2015=100","115.4103246"
"Maintenance and Repairs","2021","State","Base 2015=100","118.3604162"
"Maintenance and Repairs","2022","State","Base 2015=100","125.5656344"
"Other Goods and Services","2010","State","Base 2015=100","100.9"
"Other Goods and Services","2011","State","Base 2015=100","100.8"
"Other Goods and Services","2012","State","Base 2015=100","97.2"
"Other Goods and Services","2013","State","Base 2015=100","98.7"
"Other Goods and Services","2014","State","Base 2015=100","103.2"
"Other Goods and Services","2015","State","Base 2015=100","100"
"Other Goods and Services","2016","State","Base 2015=100","101.8"
"Other Goods and Services","2017","State","Base 2015=100","101.3156474"
"Other Goods and Services","2018","State","Base 2015=100","101.8448197"
"Other Goods and Services","2019","State","Base 2015=100","108.5430265"
"Other Goods and Services","2020","State","Base 2015=100","100.2972162"
"Other Goods and Services","2021","State","Base 2015=100","107.8023299"
"Other Goods and Services","2022","State","Base 2015=100","113.8853757"
"Crop Protection Products","2010","State","Base 2015=100","71.2"
"Crop Protection Products","2011","State","Base 2015=100","78.5"
"Crop Protection Products","2012","State","Base 2015=100","89"
"Crop Protection Products","2013","State","Base 2015=100","78.4"
"Crop Protection Products","2014","State","Base 2015=100","91.8"
"Crop Protection Products","2015","State","Base 2015=100","100"
"Crop Protection Products","2016","State","Base 2015=100","90"
"Crop Protection Products","2017","State","Base 2015=100","108.4874999"
"Crop Protection Products","2018","State","Base 2015=100","109.7962676"
"Crop Protection Products","2019","State","Base 2015=100","106.5355791"
"Crop Protection Products","2020","State","Base 2015=100","101.5540013"
"Crop Protection Products","2021","State","Base 2015=100","126.4513328"
"Crop Protection Products","2022","State","Base 2015=100","123.2832232"
